Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2022-07-18,276.26,281.50,281.50,275.21,3.27M,-0.80%,0
2022-07-15,278.48,277.53,280.00,276.06,4.55M,1.48%,0
2022-07-14,274.41,273.00,275.35,271.20,3.89M,-1.10%,0
2022-07-13,277.47,275.37,280.09,274.45,4.20M,0.07%,0
2022-07-12,277.28,277.57,282.18,276.65,3.03M,-0.44%,0.3182
2022-07-11,278.51,279.38,281.46,277.87,2.87M,-0.83%,0
2022-07-08,280.83,279.79,282.61,279.25,2.99M,0.55%,0
2022-07-07,279.28,277.50,279.59,277.10,3.95M,1.32%,0
2022-07-06,275.65,274.84,277.51,272.87,3.03M,-0.01%,0
2022-07-05,275.69,274.20,275.86,271.39,3.68M,-0.65%,0
2022-07-01,277.50,272.50,278.40,271.63,3.67M,1.64%,0
2022-06-30,273.02,270.51,274.92,268.68,4.63M,-0.17%,0
2022-06-29,273.49,274.95,275.94,272.97,3.01M,-0.14%,0
2022-06-28,273.86,280.51,282.45,273.68,4.02M,-1.63%,0
2022-06-27,278.40,280.53,282.03,277.61,4.14M,0.04%,0
2022-06-24,278.28,268.97,279.67,268.57,6.45M,4.02%,0
2022-06-23,267.52,269.85,270.71,263.68,4.73M,-0.84%,0
2022-06-22,269.79,267.38,273.39,267.38,4.23M,-0.73%,0
2022-06-21,271.77,273.85,273.98,270.34,4.91M,1.38%,0
2022-06-17,268.08,268.39,270.50,265.68,11.62M,-0.18%,0
2022-06-16,268.56,273.39,273.40,266.88,7.21M,-3.72%,0
2022-06-15,278.93,281.16,282.50,273.87,5.83M,0.46%,0
2022-06-14,277.64,282.09,283.96,276.10,5.85M,-1.39%,0
2022-06-13,281.56,285.43,287.43,280.10,7.12M,-3.48%,0
2022-06-10,291.71,296.08,298.00,291.61,5.88M,-3.02%,0
2022-06-09,300.80,308.10,308.38,300.57,3.22M,-2.57%,0
2022-06-08,308.74,312.16,312.80,307.93,2.88M,-1.57%,0
2022-06-07,313.65,310.58,313.79,309.39,2.55M,0.48%,0
2022-06-06,312.15,313.38,315.78,311.48,2.98M,0.39%,0
2022-06-03,310.94,312.50,313.80,310.40,2.59M,-1.27%,0
2022-06-02,314.95,312.65,315.09,308.61,3.12M,0.88%,0
2022-06-01,312.21,316.00,316.79,309.61,3.80M,-1.19%,0
2022-05-31,315.98,318.98,318.98,314.80,5.70M,-0.98%,0
2022-05-27,319.11,314.73,319.24,314.15,4.28M,2.12%,0
2022-05-26,312.50,311.27,314.39,310.98,4.47M,1.25%,0
2022-05-25,308.64,308.59,310.99,305.92,3.71M,-0.17%,0
2022-05-24,309.17,309.39,310.31,303.75,3.66M,-0.33%,0
2022-05-23,310.20,307.38,312.44,306.62,4.15M,2.02%,0
2022-05-20,304.05,307.05,307.46,298.11,5.52M,-0.03%,0.25
2022-05-19,304.15,303.93,306.31,301.21,4.74M,-0.81%,0
2022-05-18,306.64,312.94,314.17,305.57,4.43M,-2.53%,0
2022-05-17,314.60,315.21,315.44,312.10,4.16M,1.72%,0.25
2022-05-16,309.29,310.28,311.95,307.13,3.70M,-0.34%,0
2022-05-13,310.36,311.25,312.47,307.90,3.77M,0.75%,0
2022-05-12,308.06,307.95,309.07,302.55,5.68M,-1.12%,0
2022-05-11,311.54,313.17,317.55,311.01,4.26M,-0.32%,0
2022-05-10,312.53,315.96,318.11,310.24,4.80M,-0.14%,0
2022-05-09,312.96,315.35,316.92,311.56,4.88M,-1.86%,0
2022-05-06,318.88,317.99,320.37,314.19,4.20M,0.06%,0
2022-05-05,318.68,325.85,325.85,315.16,5.27M,-2.48%,0
2022-05-04,326.80,319.10,327.28,318.00,4.27M,2.45%,0
2022-05-03,318.99,319.42,323.58,317.67,3.88M,0.25%,0.0
2022-05-02,318.19,324.11,324.37,311.74,6.80M,-1.44%,0
2022-04-29,322.83,330.19,330.64,320.50,5.69M,-2.55%,0
2022-04-28,331.27,331.53,332.06,327.83,3.85M,0.51%,0
2022-04-27,329.58,330.60,333.14,328.43,3.73M,-0.32%,-0.4767
2022-04-26,330.65,333.53,337.39,330.36,4.60M,-1.87%,0
2022-04-25,336.95,332.30,337.85,328.53,5.98M,0.41%,0
2022-04-22,335.56,342.94,343.21,335.11,4.97M,-2.34%,0
2022-04-21,343.60,350.86,350.86,342.96,4.03M,-1.50%,0
2022-04-20,348.82,350.00,350.59,347.70,3.71M,0.09%,0
2022-04-19,348.50,347.00,349.13,345.85,3.39M,0.53%,0
2022-04-18,346.65,344.45,347.19,343.58,2.52M,0.67%,0
2022-04-14,344.33,346.16,347.56,344.14,3.29M,-0.55%,0
2022-04-13,346.22,349.46,350.72,345.24,3.44M,-1.01%,0
2022-04-12,349.74,352.26,354.00,348.39,3.55M,-0.65%,0
2022-04-11,352.02,352.98,354.33,349.34,3.13M,-0.31%,0
2022-04-08,353.10,348.93,353.85,347.73,4.50M,1.90%,-0.4215
2022-04-07,346.51,346.22,347.67,342.40,3.82M,0.52%,-0.061899999999999955
2022-04-06,344.71,341.17,346.97,340.55,4.55M,-0.03%,0
2022-04-05,344.80,345.77,349.44,344.28,4.25M,-0.18%,0
2022-04-04,345.43,352.00,352.23,344.31,5.11M,-1.83%,0
2022-04-01,351.88,353.65,354.58,349.02,4.13M,-0.29%,0
2022-03-31,352.91,359.00,360.00,352.32,6.07M,-1.31%,0
2022-03-30,357.61,354.66,357.85,351.84,3.91M,0.70%,-0.25
2022-03-29,355.12,361.39,362.10,352.55,5.01M,-1.24%,0
2022-03-28,359.57,360.59,361.38,355.53,4.18M,0.23%,0
2022-03-25,358.76,353.90,359.01,353.60,4.59M,1.81%,0
2022-03-24,352.37,351.50,352.57,349.13,3.95M,1.21%,0
2022-03-23,348.16,349.13,350.79,346.25,5.64M,-0.51%,0
